id/I,peaktime/F,chan/F,peakamp/F,sumadc/F,view/I,wire/S,index/I,x/F,y/F,z/F,dirx/F,diry/F,dirz/F,p/F
0,1559.66,107,9.03371,138.095,0,C:0 T:0 P:0 W:107,42,30.4491,-0.721895,39.2776,0.0895284,0.0199932,-0.995784,0
0,1560.57,347,13.5864,221.634,1,C:0 T:0 P:1 W:107,43,30.4615,-0.719132,39.14,0.0895284,0.0199932,-0.995784,0
0,1559.54,106,10.5126,166.437,0,C:0 T:0 P:0 W:106,44,30.4897,-0.712828,38.826,0.0895284,0.0199932,-0.995784,0
0,1561.43,346,16.9755,287.478,1,C:0 T:0 P:1 W:106,45,30.5032,-0.709811,38.6757,0.0822485,0.0213361,-0.996383,0
0,1562.07,105,8.64792,126.658,0,C:0 T:0 P:0 W:105,46,30.5286,-0.703238,38.3688,0.0554612,0.0262602,-0.998115,0
0,1564.68,345,15.1266,242.015,1,C:0 T:0 P:1 W:105,47,30.5377,-0.698902,38.204,0.0554612,0.0262602,-0.998115,0
0,1564.82,104,8.27472,120.768,0,C:0 T:0 P:0 W:104,48,30.554,-0.691214,37.9118,0.0554612,0.0262602,-0.998115,0
0,1566.04,344,13.4681,206.512,1,C:0 T:0 P:1 W:104,49,30.5638,-0.686561,37.7349,0.0554612,0.0262602,-0.998115,0
0,1563.82,103,11.4644,187.757,0,C:0 T:0 P:0 W:103,50,30.5791,-0.679328,37.46,0.0554612,0.0262602,-0.998115,0
0,1565.77,343,19.4713,323.15,1,C:0 T:0 P:1 W:103,51,30.5897,-0.674284,37.2683,0.0554612,0.0262602,-0.998115,0
0,1564.12,102,16.8558,279.772,0,C:0 T:0 P:0 W:102,52,30.6043,-0.667395,37.0064,0.0554612,0.0262602,-0.998115,0
0,1567.96,101,9.79152,175.317,0,C:0 T:0 P:0 W:101,53,30.6298,-0.65533,36.5479,0.0554612,0.0262602,-0.998115,0
0,1569.38,341,10.0388,241.593,1,C:0 T:0 P:1 W:101,54,30.6419,-0.649568,36.3289,0.0554612,0.0262602,-0.998115,0
