eid/I,type/S,id/I,peaktime/F,chan/F,peakamp/F,sumadc/F,view/I,wire/S
1,pmtrack,0,1579.83,92,10.4695,174.552,0,C:0 T:0 P:0 W:92
1,pmtrack,0,1582.53,332,10.2596,176.903,1,C:0 T:0 P:1 W:92
1,pmtrack,0,1581.16,91,12.7263,206.058,0,C:0 T:0 P:0 W:91
1,pmtrack,0,1584.44,331,13.7466,232.366,1,C:0 T:0 P:1 W:91
1,pmtrack,0,1582.67,90,13.0085,211.342,0,C:0 T:0 P:0 W:90
1,pmtrack,0,1586.5,330,18.78,314.706,1,C:0 T:0 P:1 W:90
1,pmtrack,0,1584.42,89,12.3321,209.256,0,C:0 T:0 P:0 W:89
1,pmtrack,0,1589.19,329,18.8878,344.891,1,C:0 T:0 P:1 W:89
1,pmtrack,0,1586.44,88,12.8917,230.887,0,C:0 T:0 P:0 W:88
1,pmtrack,0,1592.16,328,16.9981,356.789,1,C:0 T:0 P:1 W:88
1,pmtrack,0,1587.82,87,12.16,207.86,0,C:0 T:0 P:0 W:87
1,pmtrack,0,1593.92,327,18.0849,322.629,1,C:0 T:0 P:1 W:87
1,pmtrack,0,1589.87,86,11.6865,194.926,0,C:0 T:0 P:0 W:86
1,pmtrack,0,1593.71,326,14.1218,274.133,1,C:0 T:0 P:1 W:86
1,pmtrack,0,1591.54,85,12.9851,204.173,0,C:0 T:0 P:0 W:85
1,pmtrack,0,1596.76,325,19.8539,348.939,1,C:0 T:0 P:1 W:85
1,pmtrack,0,1593.9,84,13.7506,235.679,0,C:0 T:0 P:0 W:84
1,pmtrack,0,1595.73,324,17.4504,285.071,1,C:0 T:0 P:1 W:84
1,pmtrack,0,1595.33,83,13.9346,230.608,0,C:0 T:0 P:0 W:83
1,pmtrack,0,1597.31,82,10.412,175.386,0,C:0 T:0 P:0 W:82
1,pmtrack,0,1602.87,322,16.0894,304.779,1,C:0 T:0 P:1 W:82
1,pmtrack,0,1599.46,81,10.7049,178.717,0,C:0 T:0 P:0 W:81
1,pmtrack,0,1605.06,321,15.911,300.655,1,C:0 T:0 P:1 W:81
1,pmtrack,0,1601.19,80,9.7722,160.644,0,C:0 T:0 P:0 W:80
1,pmtrack,0,1603.89,79,13.3521,218.701,0,C:0 T:0 P:0 W:79
1,pmtrack,0,1607.13,320,15.9045,294.77,1,C:0 T:0 P:1 W:80
1,pmtrack,0,1605.66,78,14.0119,227.136,0,C:0 T:0 P:0 W:78
1,pmtrack,0,1608.31,319,17.4675,307.417,1,C:0 T:0 P:1 W:79
1,pmtrack,0,1607.37,77,14.2298,224.966,0,C:0 T:0 P:0 W:77
1,pmtrack,0,1610.41,318,17.2317,299.672,1,C:0 T:0 P:1 W:78
1,pmtrack,0,1608.95,76,12.7113,207.164,0,C:0 T:0 P:0 W:76
1,pmtrack,0,1611.34,317,21.5263,358.504,1,C:0 T:0 P:1 W:77
1,pmtrack,0,1611.02,75,12.0271,205.044,0,C:0 T:0 P:0 W:75
1,pmtrack,0,1614.3,316,18.5713,319.878,1,C:0 T:0 P:1 W:76
1,pmtrack,0,1613.88,74,12.072,199.003,0,C:0 T:0 P:0 W:74
1,pmtrack,0,1617.75,315,19.0491,352.918,1,C:0 T:0 P:1 W:75
1,pmtrack,0,1615.94,73,13.229,204.406,0,C:0 T:0 P:0 W:73
1,pmtrack,0,1619.39,314,17.4718,318.758,1,C:0 T:0 P:1 W:74
1,pmtrack,0,1617.93,72,12.6306,206.1,0,C:0 T:0 P:0 W:72
1,pmtrack,0,1621.52,313,17.9309,318.848,1,C:0 T:0 P:1 W:73
1,pmtrack,0,1619.14,71,13.5915,218.956,0,C:0 T:0 P:0 W:71
1,pmtrack,0,1621.43,312,16.5125,310.999,1,C:0 T:0 P:1 W:72
1,pmtrack,0,1621.43,70,15.2249,249.87,0,C:0 T:0 P:0 W:70
1,pmtrack,0,1623.19,311,20.7906,340.421,1,C:0 T:0 P:1 W:71
1,pmtrack,0,1623.18,69,14.1349,235.547,0,C:0 T:0 P:0 W:69
1,pmtrack,0,1625.64,310,22.5798,377.732,1,C:0 T:0 P:1 W:70
1,pmtrack,0,1626.67,68,13.1941,222.473,0,C:0 T:0 P:0 W:68
1,pmtrack,0,1628.14,309,17.9925,338.012,1,C:0 T:0 P:1 W:69
1,pmtrack,0,1628.42,67,12.6229,210.925,0,C:0 T:0 P:0 W:67
1,pmtrack,0,1631.72,308,22.3253,392.464,1,C:0 T:0 P:1 W:68
1,pmtrack,0,1629.84,66,14.0231,231.218,0,C:0 T:0 P:0 W:66
1,pmtrack,0,1632.36,307,17.0867,307.128,1,C:0 T:0 P:1 W:67
1,pmtrack,0,1635.11,306,22.6754,404.234,1,C:0 T:0 P:1 W:66
1,pmtrack,0,1632.14,65,13.2973,215.641,0,C:0 T:0 P:0 W:65
1,pmtrack,0,1635.82,305,17.339,304.122,1,C:0 T:0 P:1 W:65
1,pmtrack,0,1633.96,64,12.7931,205.309,0,C:0 T:0 P:0 W:64
1,pmtrack,0,1638.58,304,21.2215,338.911,1,C:0 T:0 P:1 W:64
1,pmtrack,0,1636.79,63,12.7248,207.103,0,C:0 T:0 P:0 W:63
1,pmtrack,0,1641.15,303,18.8656,323.496,1,C:0 T:0 P:1 W:63
1,pmtrack,0,1638.49,62,13.3957,221.869,0,C:0 T:0 P:0 W:62
1,pmtrack,0,1643.09,302,17.1932,304.923,1,C:0 T:0 P:1 W:62
1,pmtrack,0,1640.91,61,12.9587,211.227,0,C:0 T:0 P:0 W:61
